ENSTTRP00000009619	ENSTTRP00000009619	100.00	30	0	0	338	249	338	249	2e-14	73.5
ENSTTRP00000009619	ENSTTRP00000002787	60.00	20	8	0	317	258	357	298	5.4	25.4
ENSTTRP00000009619	ENSTTRP00000014968	50.00	18	9	0	311	258	227	280	5.4	25.4
ENSTTRP00000014358	ENSTTRP00000014358	100.00	18	0	0	95	42	95	42	6e-07	48.7
ENSTTRP00000001033	ENSTTRP00000001033	100.00	30	0	0	237	148	237	148	0.025	33.1
ENSTTRP00000007447	ENSTTRP00000007447	100.00	9	0	0	29	3	29	3	1.1	24.4
ENSTTRP00000015678	ENSTTRP00000015678	100.00	8	0	0	25	2	25	2	9.2	24.9
ENSTTRP00000009619	ENSTTRP00000010113	61.54	13	5	0	285	247	59	21	5.4	25.4
ENSTTRP00000014358	ENSTTRP00000006732	55.00	20	9	0	93	34	732	673	1.7	27.2
ENSTTRP00000014358	ENSTTRP00000000667	39.39	33	17	2	99	1	312	223	1.7	27.2
ENSTTRP00000014358	ENSTTRP00000008165	35.29	34	22	0	102	1	1179	1078	2.3	26.7
ENSTTRP00000014358	ENSTTRP00000007870	55.56	27	9	2	102	28	835	758	3.2	26.3
ENSTTRP00000014358	ENSTTRP00000015543	42.86	28	16	0	84	1	292	209	6.1	25.4
ENSTTRP00000014358	ENSTTRP00000016111	40.62	32	19	0	96	1	784	689	6.1	25.4
ENSTTRP00000014358	ENSTTRP00000002560	50.00	24	11	1	93	22	554	486	6.1	25.4
ENSTTRP00000014358	ENSTTRP00000011087	40.74	27	16	0	81	1	397	317	6.1	25.4
ENSTTRP00000014358	ENSTTRP00000002414	40.54	37	20	1	111	1	163	59	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000015043	43.24	37	19	1	111	1	1221	1117	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000014358	100.00	37	0	0	111	1	111	1	5e-21	95.5
ENSTTRP00000014358	ENSTTRP00000002647	52.00	25	12	0	84	10	108	34	0.3	29.9
ENSTTRP00000014358	ENSTTRP00000009035	42.31	26	15	0	78	1	888	811	0.7	28.6
ENSTTRP00000014358	ENSTTRP00000000541	40.74	27	16	0	81	1	517	437	1.7	27.2
ENSTTRP00000014358	ENSTTRP00000005150	46.15	26	14	0	102	25	1293	1216	3.2	26.3
ENSTTRP00000014358	ENSTTRP00000016579	42.31	26	15	0	78	1	507	430	4.4	25.8
ENSTTRP00000014358	ENSTTRP00000011598	37.50	32	20	0	96	1	261	166	4.4	25.8
ENSTTRP00000014358	ENSTTRP00000006720	50.00	18	9	0	63	10	600	547	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000011794	43.75	32	18	0	96	1	684	589	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000003477	50.00	26	13	0	93	16	649	572	0.3	29.5
ENSTTRP00000014358	ENSTTRP00000003352	46.15	26	14	0	87	10	110	33	0.7	28.6
ENSTTRP00000014358	ENSTTRP00000002810	47.83	23	12	0	78	10	186	118	0.9	28.1
ENSTTRP00000014358	ENSTTRP00000004275	45.45	33	17	1	105	10	144	46	1.2	27.6
ENSTTRP00000014358	ENSTTRP00000011061	54.17	24	7	2	93	22	86	27	1.2	27.6
ENSTTRP00000014358	ENSTTRP00000016347	50.00	20	10	0	93	34	327	268	3.2	26.3
ENSTTRP00000014358	ENSTTRP00000005590	37.93	29	18	0	111	25	129	43	4.4	25.8
ENSTTRP00000014358	ENSTTRP00000005899	45.83	24	13	0	93	22	829	758	4.4	25.8
ENSTTRP00000014358	ENSTTRP00000000892	38.24	34	21	0	102	1	452	351	4.4	25.8
ENSTTRP00000014358	ENSTTRP00000016586	38.46	26	16	0	78	1	164	87	6.1	25.4
ENSTTRP00000014358	ENSTTRP00000016573	38.46	26	16	0	78	1	128	51	6.1	25.4
ENSTTRP00000014358	ENSTTRP00000003125	47.83	23	12	0	78	10	545	477	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000004801	41.38	29	17	0	111	25	439	353	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000000664	52.63	19	9	0	57	1	443	387	8.4	24.9
ENSTTRP00000014358	ENSTTRP00000005344	45.45	33	14	1	108	10	31	117	8.4	24.9
ENSTTRP00000004634	ENSTTRP00000004634	100.00	9	0	0	296	270	296	270	9.3	24.9
ENSTTRP00000014358	ENSTTRP00000014358	100.00	19	0	0	58	2	58	2	5e-06	45.5
ENSTTRP00000000292	ENSTTRP00000000292	100.00	13	0	0	891	929	891	929	2.8	28.1
ENSTTRP00000002457	ENSTTRP00000002457	100.00	10	0	0	79	108	79	108	6.7	22.1
ENSTTRP00000001233	ENSTTRP00000001233	100.00	11	0	0	691	723	691	723	6.2	26.3
